GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,MIN_PER_GAME
Lineups,-1628386-1629636-1629660-1630241-1642281-,J. Allen - D. Garland - T. Jerome - S. Merrill - J. Tyson,1610612739,CLE,3,2,1,0.667,9.0,101.5,94.1,118.8,126.7,-17.2,-32.60000000000001,0.167,0.5,4.8,0.375,0.833,0.571,0.118,0.429,0.508,89.7,90.35,75.29,17,0.412,1386,972,3490,3813,1720,6106,7260,7269,7335,4533,7349,2913,3246,3043,5681,6347,5788,9305,5940,3.0
Lineups,-1627759-1628369-1629674-1630202-1630573-,J. Brown - J. Tatum - N. Queta - P. Pritchard - S. Hauser,1610612738,BOS,3,1,2,0.333,9.0,123.7,127.3,98.6,95.7,25.1,31.599999999999994,0.3,1.5,10.7,0.273,0.778,0.5,0.091,0.575,0.618,117.1,117.18,97.65,22,0.565,1386,1965,8517,5613,1571,2843,4084,2796,7130,2423,6674,4291,3841,4036,4984,3874,3851,2828,4019,3.0
Lineups,-202710-1628418-1629130-1630696-1631170-,J. Butler - T. Bryant - D. Robinson - D. Smith - J. Jaquez Jr.,1610612748,MIA,2,1,1,0.5,9.0,110.3,105.9,170.3,172.2,-60.0,-66.29999999999998,0.5,2.0,16.0,0.444,0.571,0.5,0.118,0.5,0.491,90.6,91.84,76.53,17,0.198,2233,1965,3490,4350,1587,4537,9340,8513,5281,1393,5103,2391,6460,4036,5681,4656,6534,9103,7827,4.5
Lineups,-1628975-1629659-1630537-1641763-1641824-,J. Carter - T. Horton-Tucker - C. Duarte - J. Phillips - M. Buzelis,1610612741,CHI,3,0,3,0.0,9.0,125.6,115.8,100.7,89.5,24.9,26.299999999999997,0.143,0.0,4.3,0.25,0.889,0.524,0.0,0.471,0.536,96.9,107.08,89.24,19,0.527,1386,6174,9709,6174,1718,3822,3768,3013,7359,5085,7362,4415,2987,3877,1,5969,5260,4955,4511,3.0
Lineups,-203903-1628374-1629012-1629234-1642262-,J. Clarkson - L. Markkanen - C. Sexton - D. Eubanks - C. Williams,1610612762,UTA,3,2,1,0.667,9.0,107.7,100.0,119.7,123.8,-12.0,-23.799999999999997,0.333,0.67,8.7,0.25,0.556,0.412,0.158,0.5,0.571,99.5,101.14,84.28,19,0.255,1386,972,3490,3813,1521,4691,6950,6812,6764,4353,7002,4415,6582,6795,6766,4656,4707,6803,7405,3.0
Lineups,-203903-1628374-1629234-1641718-1642268-,J. Clarkson - L. Markkanen - D. Eubanks - K. George - I. Collier,1610612762,UTA,3,0,3,0.0,9.0,140.4,130.0,88.5,88.9,51.9,41.099999999999994,0.333,3.0,12.5,0.167,1.0,0.667,0.05,0.6,0.702,98.1,101.9,84.92,20,0.813,1386,6174,9709,6174,1627,2679,3714,2329,6764,656,6081,5517,1,1505,4415,3426,2565,6562,2012,3.0
Lineups,-203903-1628374-1628381-1631117-1641718-,J. Clarkson - L. Markkanen - J. Collins - W. Kessler - K. George,1610612762,UTA,1,0,1,0.0,9.0,118.0,115.8,135.4,130.0,-17.4,-14.200000000000003,0.667,1.33,17.4,0.0,0.778,0.412,0.158,0.654,0.703,103.4,106.57,88.8,19,0.418,4127,6174,3490,6174,1658,3822,7448,6225,3752,2745,4417,6064,3841,6795,6766,2784,2561,5109,5866,9.0
Lineups,-203903-1628374-1629004-1631117-1642268-,J. Clarkson - L. Markkanen - S. Mykhailiuk - W. Kessler - I. Collier,1610612762,UTA,2,1,1,0.5,9.0,165.9,155.6,144.8,144.4,21.1,11.199999999999989,0.6,6.0,19.4,0.636,0.8,0.688,0.056,0.619,0.64,94.8,98.0,81.66,18,0.52,2233,1965,3490,4350,1649,1343,8317,3890,4722,90,3801,997,3506,1483,4455,3259,3473,7720,4576,4.5
Lineups,-203954-1626162-1627824-1630288-1642272-,J. Embiid - K. Oubre Jr. - G. Yabusele - J. Dowtin Jr. - J. McCain,1610612755,PHI,1,0,1,0.0,9.0,102.5,105.3,100.7,90.0,1.8,15.299999999999997,0.8,2.0,15.4,0.25,0.727,0.478,0.105,0.353,0.487,94.7,98.7,82.25,19,0.533,4127,6174,3490,6174,1522,4568,3778,3670,2730,1393,5224,4415,4569,5719,5380,7127,6557,7532,4418,9.0
Lineups,-203924-1629014-1629057-1630625-1631101-,J. Grant - A. Simons - R. Williams III - D. Banton - S. Sharpe,1610612757,POR,3,1,2,0.333,9.0,86.7,86.7,98.2,100.0,-11.5,-13.299999999999997,0.8,2.0,19.0,0.2,0.474,0.379,0.133,0.433,0.433,90.4,89.48,74.56,15,0.452,1386,1965,8517,5613,1705,6531,4173,6191,2730,1393,3857,5124,7642,7320,6087,6322,7043,9449,5495,3.0
Lineups,-1629750-1630527-1630631-1641722-1642274-,J. Green - B. Boston - J. Alvarado - J. Hawkins - Y. Missi,1610612740,NOP,2,0,2,0.0,9.0,86.6,78.9,100.0,100.0,-13.4,-21.099999999999994,0.167,0.33,4.8,0.111,0.714,0.375,0.158,0.464,0.49,101.6,106.16,88.47,19,0.343,2233,6174,8517,6174,1649,7026,4173,6687,7335,4919,7349,5927,4662,7326,6766,6018,6541,5205,6657,4.5
Lineups,-201950-204001-1630202-1630573-1641809-,J. Holiday - K. Porziņģis - P. Pritchard - S. Hauser - D. Peterson,1610612738,BOS,1,0,1,0.0,9.0,71.1,66.7,123.9,122.2,-52.8,-55.5,0.25,0.33,5.3,0.0,0.667,0.333,0.167,0.385,0.432,94.8,98.56,82.13,18,0.216,4127,6174,3490,6174,1665,7538,6855,8249,7162,4919,7327,6064,5047,7568,6851,6857,7050,7574,7689,9.0
